Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,14027,11419,2608,4589,9438,8490
Andriano,11995,10567,1428,2228,9767,9229
Anterivo,3598,3405,193,1069,2529,2449
Appiano s.s.d.v.,91906,72028,19878,12934,78972,72183
Avelengo,43805,38162,5643,9208,34597,26296
Badia,178510,137216,41294,99812,78698,71460
Barbiano,24776,20270,4506,2215,22561,16997
Bolzano,285098,251402,33696,111070,174028,172008
Braies,30903,24108,6795,17830,13073,20453
Brennero,42110,32838,9272,17528,24582,20039
Bressanone,154397,122991,31406,54783,99614,89911
Bronzolo,2349,2349,0,1744,605,1367
Brunico,111350,98421,12929,53208,58142,49466
Caines,3424,2073,1351,312,3112,2802
Caldaro s.s.d.v.,104995,73472,31523,7286,97709,90341
Campo di Trens,56505,50022,6483,14748,41757,35398
Campo Tures,77012,67073,9939,36091,40921,39855
Castelbello-Ciardes,11466,9817,1649,1041,10425,9670
Castelrotto,253255,217995,35260,104043,149212,134310
Cermes,20517,17927,2590,4786,15731,14551
Chienes,65735,59404,6331,20205,45530,35734
Chiusa,55912,41875,14037,14474,41438,39000
Cornedo all'Isarco,17740,15913,1827,4277,13463,13509
Cortaccia s.s.d.v.,10672,6483,4189,1087,9585,8190
Cortina s.s.d.v.,9976,9701,275,1930,8046,6876
Corvara in Badia,160274,135414,24860,81257,79017,61556
Curon Venosta,72903,57631,15272,17117,55786,34892
Dobbiaco,123058,75224,47834,80513,42545,81267
Egna,9159,7896,1263,3472,5687,6420
Falzes,27723,23645,4078,11472,16251,13136
Fie' allo Sciliar,64935,40379,24556,17509,47426,43275
Fortezza,10365,10365,0,3228,7137,6788
Funes,28687,14311,14376,11781,16906,22580
Gais,34456,32574,1882,12831,21625,16831
Gargazzone,9591,9319,272,2192,7399,6749
Glorenza,18255,8385,9870,3897,14358,16201
Laces,47678,33352,14326,5312,42366,38916
Lagundo,95435,78521,16914,14971,80464,72848
Laion,25495,19621,5874,8101,17394,13806
Laives,69356,54665,14691,23065,46291,47895
Lana,93137,58981,34156,9663,83474,74390
Lasa,6913,2005,4908,1576,5337,5550
Lauregno,28,0,28,18,10,26
Luson,25015,22994,2021,8447,16568,15387
Magre' s.s.d.v.,1819,1510,309,338,1481,1526
Malles Venosta,66739,52924,13815,14340,52399,45186
Marebbe,111169,71840,39329,63492,47677,48045
Marlengo,39820,35753,4067,5710,34110,31197
Martello,14922,10217,4705,4952,9970,9489
Meltina,7512,4912,2600,2130,5382,5494
Merano,276821,234012,42809,92864,183957,186372
Monguelfo-Tesido,32299,25360,6939,19348,12951,18569
Montagna,13415,9283,4132,3708,9707,10201
Moso in Passiria,25034,18371,6663,6633,18401,15415
Nalles,19785,18413,1372,4182,15603,14357
Naturno,85763,64592,21171,7571,78192,70054
Naz-Sciaves,67550,62837,4713,12960,54590,38092
Nova Levante,43701,37906,5795,14637,29064,24847
Nova Ponente,65466,60137,5329,17449,48017,32047
Ora,41620,36975,4645,10702,30918,29276
Ortisei,110834,90726,20108,64814,46020,48184
Parcines,54120,47726,6394,7354,46766,42521
Perca,10095,8082,2013,4252,5843,4590
Plaus,9428,8955,473,1064,8364,7183
Ponte Gardena,33,33,0,0,33,9
Postal,17114,14960,2154,5169,11945,11610
Prato allo Stelvio,35830,20516,15314,6848,28982,27867
Predoi,5016,4214,802,2250,2766,2193
Proves,361,121,240,193,168,287
Racines,135897,121784,14113,49941,85956,64198
Rasun Anterselva,81604,63769,17835,38245,43359,43369
Renon,82379,60686,21693,31460,50919,54592
Rifiano,13504,10495,3009,1084,12420,11982
Rio di Pusteria,128858,121932,6926,40982,87876,68033
Rodengo,17306,15229,2077,4731,12575,10491
Salorno,10753,8618,2135,4528,6225,8009
S.Candido,91323,70995,20328,71167,20156,48008
S.Genesio Atesino,11754,9009,2745,3090,8664,8332
S.Leonardo in Passiria,47812,44908,2904,6611,41201,35074
S.Lorenzo di Sebato,72026,53267,18759,24863,47163,37072
S.Martino in Badia,22258,15974,6284,10044,12214,11890
S.Martino in Passiria,52068,46980,5088,9409,42659,36684
S.Pancrazio,4881,2501,2380,949,3932,3453
S.Cristina Val Gardena,65848,48904,16944,25667,40181,26653
Sarentino,31727,27128,4599,13132,18595,18119
Scena,153574,143286,10288,16283,137291,119840
Selva dei Molini,14091,12386,1705,3843,10248,6372
Selva di Val Gardena,201641,174382,27259,78336,123305,79076
Senales,65267,58080,7187,23328,41939,32618
Sesto,128557,81080,47477,69980,58577,71931
Silandro,38140,35794,2346,7629,30511,30005
Sluderno,11971,10927,1044,2608,9363,8433
Stelvio,83806,73049,10757,22922,60884,42140
Terento,32711,29778,2933,11400,21311,17813
Terlano,21018,16330,4688,5681,15337,15031
Termeno s.s.d.v.,32479,22485,9994,1921,30558,27896
Tesimo,21600,13631,7969,1764,19836,18210
Tires,20779,18541,2238,4042,16737,15810
Tirolo,124231,112020,12211,9160,115071,103623
Trodena nel parco naturale,10639,9888,751,2892,7747,6611
Tubre,4450,3939,511,1194,3256,2842
Ultimo,33513,29465,4048,9201,24312,18719
Vadena,5630,5340,290,296,5334,4920
Valdaora,81648,67209,14439,31043,50605,34319
Val di Vizze,22673,19480,3193,9050,13623,13113
Valle Aurina,135820,124054,11766,49236,86584,59380
Valle di Casies,39124,30609,8515,24748,14376,21068
Vandoies,15799,12905,2894,4178,11621,9138
Varna,31349,24015,7334,9318,22031,20591
Verano,4237,2587,1650,907,3330,3336
Villabassa,24981,17104,7877,15888,9093,16342
Villandro,27042,24806,2236,3629,23413,19124
Vipiteno,81611,77247,4364,32689,48922,44847
Velturno,24621,18530,6091,6019,18602,16488
La Valle,14018,9941,4077,6072,7946,6669
Senale-S.Felice,4309,4256,53,1834,2475,3169
,6142089,5027911,1114178,2090874,4051215,3669141
